城市名称,城镇失业率多年均值
city1,3.0
city2,2.739130434782609
city4,3.1363636363636362
city5,2.739130434782609
city6,2.1739130434782608
city7,2.9545454545454546
city8,2.9130434782608696
city9,2.608695652173913
city10,3.272727272727273
city11,3.217391304347826
city12,2.5714285714285716
city13,
city14,2.739130434782609
city15,1.9000000000000001
city16,2.840909090909091
city17,2.459090909090909
city18,2.6159090909090907
city19,2.75
city20,3.194736842105263
city21,2.590909090909091
city22,2.857142857142857
city23,2.5
city24,3.090909090909091
city25,2.8181818181818183
city26,2.0
city27,2.4545454545454546
city28,3.1363636363636362
city29,2.9545454545454546
city30,2.675
city31,2.391304347826087
city32,2.9545454545454546
city33,2.238095238095238
city34,
city35,2.590909090909091
city36,2.6363636363636362
city37,2.775
city38,2.5
city39,2.1818181818181817
city40,2.7954545454545454
city3,2.217391304347826
