城市名称,年份,从业人员数,第一产业从业人员数,第二产业从业人员数,第三产业从业人员数,农村居民消费支出,农村居民人均收入,城镇居民消费支出,城镇居民人均收入,人均消费支出,人均可支配收入,城镇失业率,城镇化率,工资水平,人口密度（人/平方公里）,常住人口（万人）,户籍人口（万人）
city1,2001,,,,,,,,,,,3.0,,10340.0,,,
city1,2002,,,,,,,,,,,4.0,,13044.0,,,
city1,2003,147.0,0.0,57.0,41.0,,,,,,,4.0,,16648.0,,,
city1,2004,150.0,0.0,63.0,43.0,,,,,,,4.0,,19968.0,,,
city1,2005,158.0,0.0,66.0,50.0,,,,,,,4.0,,22024.0,469.0,,
city1,2006,162.0,0.0,71.0,52.0,,,,,,,4.0,,23872.0,477.0,272.0,258.0
city1,2007,183.0,0.0,81.0,66.0,,,,,,,4.0,48.0,26040.0,483.0,277.0,258.0
city1,2008,199.0,0.0,87.0,77.0,,,,,,,3.0,49.0,28504.0,486.0,280.0,258.0
city1,2009,199.0,0.0,87.0,77.0,,,,,,,3.0,50.0,31456.0,491.0,282.0,259.0
city1,2010,180.0,0.0,89.0,56.0,,,,,,,3.0,51.0,33840.0,499.0,285.0,259.0
city1,2011,180.0,0.0,91.0,59.0,,,,,,,3.0,53.0,36484.0,500.0,289.0,260.0
city1,2012,180.0,0.0,92.0,62.0,,,,,,,3.0,53.0,41104.0,501.0,290.0,261.0
city1,2013,181.0,0.0,92.0,64.0,12440.0,20256.0,,35750.0,,,3.0,55.0,46288.0,503.0,291.0,261.0
city1,2014,183.0,0.0,94.0,65.0,14836.0,22404.0,23196.0,38955.0,,,3.0,56.0,49888.0,505.0,292.0,262.0
city1,2015,184.0,0.0,95.0,67.0,16112.0,24408.0,24872.0,42235.0,20356.0,31508.0,3.0,57.0,56444.0,509.0,293.0,264.0
city1,2016,187.0,0.0,96.0,69.0,17608.0,26508.0,26812.0,45790.0,22020.0,34248.0,3.0,59.0,61200.0,513.0,295.0,264.0
city1,2017,189.0,0.0,96.0,72.0,18664.0,28996.0,27728.0,49930.0,23216.0,37192.0,2.0,61.0,65048.0,516.0,298.0,265.0
city1,2018,192.0,0.0,96.0,74.0,20716.0,31764.0,28960.0,54390.0,24420.0,40700.0,2.0,62.0,72332.0,522.0,300.0,266.0
city1,2019,194.0,0.0,95.0,79.0,22612.0,34800.0,31828.0,59025.0,26964.0,44484.0,2.0,64.0,81616.0,528.0,303.0,267.0
city1,2020,,,,,22984.0,37244.0,34916.0,61740.0,29656.0,48672.0,2.0,65.0,89618.0,581.0,306.0,268.0
city1,2021,199.0,0.0,101.0,89.0,27132.0,41300.0,35488.0,67980.0,30412.0,51800.0,2.0,66.0,97620.0,587.0,337.0,268.0
city1,2022,,,,,29356.0,44112.0,41532.0,71040.0,35870.0,57492.0,2.0,66.0,97620.0,588.0,,
city2,2000,,,,,,,,,,,3.0,,11984.0,,,
city2,2001,,,,,,,,,,,4.0,,11984.0,937.0,509.0,0.0
city2,2002,223.0,45.0,111.0,67.0,,,,,,,4.0,,13780.0,916.0,,
city2,2003,260.0,39.0,140.0,81.0,,,,,,,4.0,,15796.0,924.0,,
city2,2004,275.0,35.0,150.0,89.0,,,,,,,3.0,,18928.0,934.0,,
city2,2005,289.0,34.0,159.0,96.0,,,,,,,3.0,,22124.0,946.0,,
city2,2006,308.0,30.0,172.0,106.0,,,,,,,3.0,,25600.0,956.0,,
city2,2007,325.0,28.0,183.0,114.0,,,,,,,3.0,67.0,29656.0,964.0,584.0,458.0
city2,2008,350.0,26.0,199.0,125.0,,,,,,,3.0,67.0,34372.0,970.0,599.0,462.0
city2,2009,364.0,24.0,200.0,140.0,,,,,,,3.0,68.0,38844.0,973.0,611.0,464.0
city2,2010,382.0,23.0,210.0,149.0,,,,,,,3.0,68.0,43344.0,1008.0,620.0,466.0
city2,2011,386.0,20.0,212.0,154.0,,,,,,,3.0,71.0,47004.0,1011.0,638.0,467.0
city2,2012,389.0,18.0,224.0,147.0,,18508.0,,35660.0,,,2.0,72.0,51516.0,1016.0,643.0,468.0
city2,2013,389.0,18.0,223.0,149.0,,20584.0,,38995.0,,,2.0,73.0,56884.0,1401.0,647.0,470.0
city2,2014,390.0,18.0,221.0,151.0,,22264.0,,41730.0,,,2.0,74.0,60580.0,1031.0,648.0,472.0
city2,2015,390.0,18.0,219.0,153.0,,24152.0,,45125.0,,,2.0,75.0,68024.0,1040.0,650.0,477.0
city2,2016,387.0,17.0,215.0,155.0,,26156.0,,48625.0,,,2.0,75.0,76016.0,1990.0,651.0,481.0
city2,2017,387.0,17.0,215.0,155.0,,28356.0,,52655.0,,,2.0,76.0,84928.0,,653.0,486.0
city2,2018,388.0,16.0,214.0,159.0,,30784.0,,56985.0,,,2.0,76.0,89548.0,2052.0,655.0,493.0
city2,2019,387.0,15.0,213.0,159.0,,33572.0,,61915.0,,,2.0,76.0,90284.0,2089.0,657.0,497.0
city2,2020,419.0,14.0,206.0,199.0,,35748.0,,64710.0,,,2.0,82.0,105756.0,,745.0,503.0
city2,2021,419.0,13.0,207.0,199.0,,39620.0,,70480.0,,,3.0,83.0,115748.0,,746.0,509.0
city2,2022,,,,,,41932.0,,73330.0,,,3.0,83.0,115748.0,,,
city4,2001,,,,,,,,,,,4.0,,11504.0,,,
city4,2002,,,,,,,,,,,4.0,,14732.0,,,
city4,2003,55.0,19.0,18.0,17.0,,,,,,,4.0,,16688.0,,,
city4,2004,56.0,16.0,19.0,21.0,,,,,,,4.0,,18776.0,,,
city4,2005,56.0,14.0,20.0,22.0,,,,,,,4.0,,22248.0,732.0,,
city4,2006,56.0,13.0,21.0,22.0,,,,,,,4.0,,25368.0,734.0,103.0,97.0
city4,2007,58.0,12.0,21.0,25.0,,,,,,,4.0,61.0,28440.0,739.0,103.0,97.0
city4,2008,63.0,11.0,27.0,26.0,,,,,,,4.0,61.0,33424.0,753.0,104.0,97.0
city4,2009,66.0,11.0,28.0,27.0,,,,,,,4.0,62.0,38700.0,759.0,105.0,97.0
city4,2010,67.0,11.0,26.0,29.0,,,,,,,3.0,62.0,40568.0,801.0,106.0,97.0
city4,2011,69.0,11.0,26.0,32.0,,,,,,,3.0,64.0,43632.0,812.0,112.0,97.0
city4,2012,73.0,10.0,25.0,37.0,,,,,,,3.0,64.0,52904.0,760.0,114.0,97.0
city4,2013,73.0,11.0,31.0,31.0,14608.0,21400.0,,37795.0,,,3.0,65.0,57280.0,761.0,114.0,97.0
city4,2014,74.0,10.0,30.0,34.0,16216.0,23780.0,25388.0,41465.0,,,3.0,66.0,61680.0,764.0,114.0,97.0
city4,2015,75.0,11.0,30.0,34.0,17612.0,25900.0,27804.0,44845.0,23784.0,35328.0,3.0,66.0,68964.0,768.0,115.0,97.0
city4,2016,75.0,11.0,30.0,34.0,19468.0,28308.0,30128.0,48420.0,25772.0,38252.0,3.0,67.0,74716.0,772.0,115.0,97.0
city4,2017,75.0,11.0,29.0,35.0,20472.0,30788.0,30760.0,52515.0,26908.0,41564.0,3.0,68.0,80308.0,779.0,116.0,97.0
city4,2018,75.0,11.0,29.0,35.0,22004.0,33812.0,32216.0,56620.0,28256.0,45192.0,2.0,68.0,93016.0,782.0,117.0,97.0
city4,2019,76.0,11.0,29.0,36.0,23888.0,36784.0,33824.0,61475.0,29988.0,49216.0,2.0,68.0,98392.0,784.0,117.0,97.0
city4,2020,,,,,23912.0,39096.0,36332.0,63700.0,32344.0,53568.0,2.0,69.0,106440.0,772.0,118.0,97.0
city4,2021,73.0,8.0,32.0,33.0,27828.0,42944.0,36476.0,69100.0,32456.0,55828.0,2.0,72.0,108492.0,777.0,116.0,96.0
city4,2022,,,,,29724.0,45924.0,42044.0,71965.0,37560.0,60846.0,1.0,72.0,108492.0,780.0,,
city5,2000,,,,,,,,,,,3.0,,11776.0,,,
city5,2001,,,,,,,,,,,4.0,,11776.0,684.0,679.0,0.0
city5,2002,324.0,62.0,161.0,101.0,,,,,,,4.0,,13668.0,688.0,,
city5,2003,346.0,55.0,195.0,96.0,,,,,,,4.0,,15920.0,696.0,,
city5,2004,363.0,49.0,211.0,103.0,,,,,,,4.0,,19788.0,706.0,,
city5,2005,398.0,43.0,232.0,123.0,,,,,,,3.0,,22508.0,715.0,,
city5,2006,431.0,36.0,264.0,132.0,,,,,,,3.0,,25012.0,726.0,,
city5,2007,483.0,34.0,307.0,143.0,,,,,,,3.0,65.0,28008.0,736.0,810.0,616.0
city5,2008,518.0,32.0,304.0,182.0,,,,,,,3.0,66.0,31400.0,742.0,882.0,624.0
city5,2009,550.0,30.0,314.0,206.0,,,,,,,3.0,66.0,36088.0,746.0,913.0,630.0
city5,2010,589.0,28.0,330.0,231.0,,,,,,,3.0,66.0,40260.0,751.0,937.0,633.0
city5,2011,609.0,26.0,336.0,247.0,,,,,,,3.0,71.0,45564.0,757.0,1047.0,638.0
city5,2012,694.0,25.0,427.0,242.0,,,,,,,3.0,71.0,51656.0,763.0,1052.0,642.0
city5,2013,695.0,25.0,426.0,244.0,,,,,,,2.0,72.0,57620.0,1246.0,1055.0,648.0
city5,2014,693.0,25.0,420.0,249.0,,,,,,,2.0,73.0,60528.0,764.0,1058.0,654.0
city5,2015,691.0,24.0,415.0,253.0,,,,,,,2.0,74.0,66956.0,770.0,1060.0,661.0
city5,2016,691.0,24.0,412.0,256.0,,,,,,,2.0,75.0,72288.0,2049.0,1062.0,667.0
city5,2017,691.0,24.0,412.0,256.0,,,,,,,2.0,76.0,79868.0,,1065.0,678.0
city5,2018,692.0,22.0,406.0,265.0,,,,,,,2.0,76.0,87348.0,2344.0,1068.0,691.0
city5,2019,693.0,21.0,404.0,268.0,,,,,,,2.0,76.0,94420.0,2520.0,1072.0,704.0
city5,2020,748.0,19.0,384.0,344.0,,,,,,,2.0,82.0,105572.0,,1271.0,723.0
city5,2021,749.0,18.0,386.0,345.0,,,,,,,2.0,82.0,113744.0,,1275.0,744.0
city5,2022,,,,,,,,,,,2.0,82.0,113744.0,,,
city6,2000,194.0,,,,,,,,,,3.0,,12496.0,,,
city6,2001,190.0,,,,,,,,,,4.0,,12496.0,1427.0,534.0,332.0
city6,2002,206.0,,,,,,,,,,3.0,,14220.0,1446.0,549.0,336.0
city6,2003,203.0,,,,,,,,,,2.0,,15872.0,1466.0,557.0,339.0
city6,2004,210.0,,,,,,,,,,2.0,,17640.0,1494.0,564.0,344.0
city6,2005,215.0,,,,,,,,,,2.0,,19560.0,1507.0,575.0,351.0
city6,2006,222.0,29.0,197.0,125.0,,,,,,,2.0,78.0,22116.0,1522.0,580.0,354.0
city6,2007,233.0,28.0,203.0,128.0,,,,,,,2.0,91.0,25204.0,1539.0,604.0,358.0
city6,2008,234.0,28.0,197.0,137.0,,,,,,,2.0,91.0,28328.0,1708.0,630.0,361.0
city6,2009,234.0,27.0,206.0,148.0,,,,,,,2.0,92.0,31044.0,1786.0,657.0,364.0
city6,2010,250.0,26.0,264.0,153.0,,,,,,,2.0,92.0,34062.0,1871.0,687.0,368.0
city6,2011,253.0,26.0,265.0,154.0,11184.0,13860.0,21992.0,30715.0,,,2.0,94.0,37080.0,1879.0,720.0,371.0
city6,2012,248.0,27.0,258.0,152.0,11456.0,15684.0,23780.0,34580.0,,,2.0,95.0,40664.0,1912.0,761.0,375.0
city6,2013,244.0,25.0,257.0,156.0,12692.0,17500.0,26164.0,38035.0,,,2.0,95.0,46204.0,1921.0,796.0,378.0
city6,2014,243.0,22.0,257.0,159.0,13472.0,20092.0,28308.0,36555.0,,,2.0,95.0,50352.0,1936.0,824.0,382.0
city6,2015,243.0,22.0,253.0,164.0,15048.0,22060.0,26040.0,39755.0,24848.0,35140.0,2.0,95.0,55676.0,2276.0,850.0,386.0
city6,2016,244.0,22.0,252.0,165.0,16736.0,24156.0,28396.0,43120.0,27712.0,38500.0,2.0,94.0,61808.0,2303.0,864.0,389.0
city6,2017,245.0,21.0,247.0,167.0,18260.0,26388.0,31300.0,46845.0,30560.0,41940.0,2.0,94.0,67184.0,2370.0,875.0,400.0
city6,2018,247.0,19.0,264.0,247.0,19904.0,28764.0,33448.0,50735.0,32648.0,45812.0,2.0,94.0,67184.0,2438.0,900.0,420.0
city6,2019,258.0,21.0,263.0,248.0,21820.0,31500.0,34800.0,55230.0,34052.0,49628.0,2.0,95.0,67184.0,2483.0,926.0,437.0
city6,2020,257.0,23.0,297.0,279.0,22256.0,33440.0,37968.0,57445.0,37160.0,54040.0,2.0,95.0,67184.0,2506.0,943.0,461.0
city6,2021,258.0,22.0,301.0,277.0,25032.0,37064.0,37664.0,62940.0,36936.0,56244.0,2.0,95.0,67184.0,2531.0,952.0,474.0
