城市名称,年份,consumptionExpenditures
city1,2015,20356
city1,2016,22020
city1,2017,23216
city1,2018,24420
city1,2019,26964
city1,2020,29656
city1,2021,30412
city1,2022,35870
city3,2015,28852
city3,2016,32356
city3,2017,36480
city3,2018,38320
city3,2019,40532
city3,2020,43112
city3,2021,40580
city3,2022,46280
city4,2015,23784
city4,2016,25772
city4,2017,26908
city4,2018,28256
city4,2019,29988
city4,2020,32344
city4,2021,32456
city4,2022,37560
city6,2015,24848
city6,2016,27712
city6,2017,30560
city6,2018,32648
city6,2019,34052
city6,2020,37160
city6,2021,36936
city6,2022,40540
city7,2015,22000
city7,2016,23784
city7,2017,24540
city7,2018,26456
city7,2019,28688
city7,2020,31108
city7,2021,31612
city7,2022,37445
city9,2015,11236
city9,2016,12428
city9,2017,13480
city9,2018,14492
city9,2019,15440
city9,2020,16516
city9,2021,17012
city9,2022,18275
city10,2015,16920
city10,2016,18396
city10,2017,19932
city10,2018,21568
city10,2019,23508
city10,2020,25716
city10,2021,25940
city10,2022,30385
city11,2015,20304
city11,2016,22336
city11,2017,24136
city11,2018,25616
city11,2019,27736
city11,2020,30544
city11,2021,31756
city11,2022,37155
city14,2015,9976
city14,2016,10764
city14,2017,12236
city14,2018,13580
city14,2019,14592
city14,2020,15604
city14,2021,16000
city14,2022,18025
city16,2015,12220
city16,2016,13380
city16,2017,14800
city16,2018,16052
city16,2019,17204
city16,2020,18724
city16,2021,18800
city16,2022,21330
city17,2015,30572
city17,2016,32884
city17,2017,35384
city17,2018,37492
city17,2019,39464
city17,2020,42304
city17,2021,41400
city17,2022,44245
city18,2015,20604
city18,2016,22228
city18,2017,23980
city18,2018,25492
city18,2019,26860
city18,2020,28768
city18,2021,28288
city18,2022,34070
city19,2015,20948
city19,2016,22668
city19,2017,24960
city19,2018,26660
city19,2019,28624
city19,2020,30908
city19,2021,30944
city19,2022,36465
city20,2015,13872
city20,2016,14692
city20,2017,15864
city20,2018,16788
city20,2019,18732
city20,2020,20632
city20,2021,21024
city20,2022,25040
city21,2015,28491
city21,2016,30180
city21,2017,31905
city21,2018,34146
city21,2019,37368
city21,2020,40014
city21,2021,38235
city21,2022,446007
city23,2015,25125
city23,2016,27198
city23,2017,30477
city23,2018,32979
city23,2019,35079
city23,2020,38211
city23,2021,36357
city23,2022,42333
city25,2015,24324
city25,2016,26055
city25,2017,27891
city25,2018,29316
city25,2019,32199
city25,2020,33942
city25,2021,34455
city25,2022,40476
city27,2015,14562
city27,2016,16179
city27,2017,17532
city27,2018,18789
city27,2019,19185
city27,2020,20943
city27,2021,21255
city27,2022,22491
city29,2015,21639
city29,2016,23820
city29,2017,25143
city29,2018,27129
city29,2019,29421
city29,2020,31767
city29,2021,30969
city29,2022,36225
city31,2015,14256
city31,2016,15609
city31,2017,17280
city31,2018,19302
city31,2019,19749
city31,2020,21645
city31,2021,21897
city31,2022,24192
city33,2015,22866
city33,2016,24798
city33,2017,26232
city33,2018,28626
city33,2019,31212
city33,2020,34107
city33,2021,34281
city33,2022,39900
city35,2015,11436
city35,2016,12273
city35,2017,13302
city35,2018,14511
city35,2019,15300
city35,2020,16311
city35,2021,16557
city35,2022,18858
city38,2015,11490
city38,2016,12552
city38,2017,13926
city38,2018,14865
city38,2019,15504
city38,2020,17019
city38,2021,16776
city38,2022,19092
