城市名称,年份,disposableIcome
city1,2015,31508
city1,2016,34248
city1,2017,37192
city1,2018,40700
city1,2019,44484
city1,2020,48672
city1,2021,51800
city1,2022,57492
city3,2015,40948
city3,2016,44632
city3,2017,48692
city3,2018,52936
city3,2019,57544
city3,2020,62520
city3,2021,64876
city3,2022,70842
city4,2015,35328
city4,2016,38252
city4,2017,41564
city4,2018,45192
city4,2019,49216
city4,2020,53568
city4,2021,55828
city4,2022,60846
city6,2015,35140
city6,2016,38500
city6,2017,41940
city6,2018,45812
city6,2019,49628
city6,2020,54040
city6,2021,56244
city6,2022,61698
city7,2015,35332
city7,2016,38388
city7,2017,41504
city7,2018,45304
city7,2019,49388
city7,2020,53836
city7,2021,56600
city7,2022,62508
city9,2015,15264
city9,2016,16844
city9,2017,18400
city9,2018,19884
city9,2019,21348
city9,2020,23176
city9,2021,24600
city9,2022,26724
city10,2015,22424
city10,2016,24400
city10,2017,26756
city10,2018,29328
city10,2019,32244
city10,2020,35448
city10,2021,37744
city10,2022,42036
city11,2015,34316
city11,2016,37136
city11,2017,40116
city11,2018,43504
city11,2019,47380
city11,2020,51612
city11,2021,54664
city11,2022,60048
city14,2015,13280
city14,2016,14548
city14,2017,16076
city14,2018,17716
city14,2019,19396
city14,2020,21052
city14,2021,22288
city14,2022,24624
city16,2015,16620
city16,2016,18140
city16,2017,19972
city16,2018,21864
city16,2019,23672
city16,2020,25804
city16,2021,27544
city16,2022,30204
city17,2015,39224
city17,2016,42712
city17,2017,46664
city17,2018,50780
city17,2019,55272
city17,2020,60068
city17,2021,63284
city17,2022,68904
city19,2015,31592
city19,2016,34372
city19,2017,37152
city19,2018,40624
city19,2019,44324
city19,2020,48152
city19,2021,50580
city19,2022,55878
city20,2015,22432
city20,2016,24460
city20,2017,26744
city20,2018,29372
city20,2019,32264
city20,2020,35408
city20,2021,37932
city20,2022,42648
city21,2015,39236
city21,2016,42640
city21,2017,46116
city21,2018,49832
city21,2019,54348
city21,2020,59260
city21,2021,61876
city21,2022,67708
city23,2015,33232
city23,2016,36156
city23,2017,40152
city23,2018,44040
city23,2019,48104
city23,2020,52492
city23,2021,55936
city23,2022,61388
city25,2015,38072
city25,2016,41372
city25,2017,44640
city25,2018,48232
city25,2019,52400
city25,2020,56980
city25,2021,59952
city25,2022,65436
city27,2015,17264
city27,2016,18996
city27,2017,20712
city27,2018,22520
city27,2019,24428
city27,2020,26612
city27,2021,28220
city27,2022,30968
city29,2015,30948
city29,2016,33788
city29,2017,36912
city29,2018,40436
city29,2019,43972
city29,2020,47988
city29,2021,50640
city29,2022,55496
city31,2015,20584
city31,2016,22364
city31,2017,24424
city31,2018,26848
city31,2019,29544
city31,2020,32320
city31,2021,33664
city31,2022,37068
city33,2015,33476
city33,2016,36456
city33,2017,39600
city33,2018,43184
city33,2019,46920
city33,2020,51488
city33,2021,54024
city33,2022,59588
city35,2015,15300
city35,2016,16628
city35,2017,17932
city35,2018,19628
city35,2019,21424
city35,2020,23320
city35,2021,24984
city35,2022,27644
city38,2015,17332
city38,2016,18988
city38,2017,20576
city38,2018,22360
city38,2019,24068
city38,2020,26120
city38,2021,27496
city38,2022,30392
