城市名称,年份,unemploymentRate
city1,2001,3.0
city1,2002,4.0
city1,2003,4.0
city1,2005,4.0
city1,2006,4.0
city1,2007,4.0
city1,2008,3.0
city1,2009,3.0
city1,2010,3.0
city1,2011,3.0
city1,2012,3.0
city1,2013,3.0
city1,2014,3.0
city1,2015,3.0
city1,2016,3.0
city1,2017,2.0
city1,2018,2.0
city1,2019,2.0
city1,2020,2.0
city1,2021,2.0
city2,2000,3.0
city2,2001,4.0
city2,2002,4.0
city2,2003,4.0
city2,2004,3.0
city2,2005,3.0
city2,2006,3.0
city2,2007,3.0
city2,2008,3.0
city2,2009,3.0
city2,2010,3.0
city2,2011,3.0
city2,2012,2.0
city2,2013,2.0
city2,2014,2.0
city2,2015,2.0
city2,2016,2.0
city2,2017,2.0
city2,2018,2.0
city2,2019,2.0
city2,2020,2.0
city2,2021,3.0
city2,2022,3.0
city3,2000,3.0
city3,2001,2.0
city3,2002,2.0
city3,2003,3.0
city3,2004,3.0
city3,2005,2.0
city3,2006,2.0
city3,2007,2.0
city3,2008,2.0
city3,2009,3.0
city3,2010,3.0
city3,2011,2.0
city3,2012,2.0
city3,2013,2.0
city3,2014,2.0
city3,2015,2.0
city3,2016,2.0
city3,2017,2.0
city3,2018,2.0
city3,2019,2.0
city3,2020,2.0
city3,2021,2.0
city4,2001,4.0
city4,2002,4.0
city4,2003,4.0
city4,2004,4.0
city4,2005,4.0
city4,2006,4.0
city4,2007,4.0
city4,2008,4.0
city4,2009,4.0
city4,2010,3.0
city4,2011,3.0
city4,2012,3.0
city4,2013,3.0
city4,2014,3.0
city4,2015,3.0
city4,2016,3.0
city4,2017,3.0
city4,2018,2.0
city4,2019,2.0
city4,2020,2.0
city4,2021,2.0
city4,2022,1.0
city5,2000,3.0
city5,2001,4.0
city5,2002,4.0
city5,2003,4.0
city5,2004,4.0
city5,2005,3.0
city5,2006,3.0
city5,2007,3.0
city5,2009,3.0
city5,2010,3.0
city5,2011,3.0
city5,2012,3.0
city5,2013,2.0
city5,2014,2.0
city5,2016,2.0
city5,2017,2.0
city5,2018,2.0
city5,2020,2.0
city5,2021,2.0
city6,2000,3.0
city6,2001,4.0
city6,2002,3.0
city6,2003,2.0
city6,2004,2.0
city6,2005,2.0
city6,2006,2.0
city6,2007,2.0
city6,2008,2.0
city6,2009,2.0
city6,2010,2.0
city6,2011,2.0
city6,2012,2.0
city6,2013,2.0
city6,2014,2.0
city6,2015,2.0
city6,2016,2.0
city6,2017,2.0
city6,2018,2.0
city6,2019,2.0
city6,2020,2.0
city6,2021,2.0
city7,2001,4.0
city7,2002,4.0
city7,2003,4.0
city7,2004,4.0
city7,2005,4.0
city7,2006,3.0
city7,2007,3.0
city7,2008,3.0
city7,2009,4.0
city7,2010,3.0
city7,2012,3.0
city7,2013,3.0
city7,2014,3.0
city7,2015,3.0
city7,2016,2.0
city7,2017,2.0
city7,2018,2.0
city7,2019,2.0
city7,2020,2.0
city7,2021,2.0
city8,2000,3.0
city8,2001,3.0
city8,2002,4.0
city8,2003,4.0
city8,2006,4.0
city8,2007,3.0
city8,2008,3.0
city8,2009,3.0
city8,2010,3.0
city8,2011,3.0
city8,2012,2.0
city8,2013,2.0
city8,2014,2.0
city8,2015,2.0
city8,2016,2.0
city8,2017,2.0
city8,2018,2.0
city8,2019,2.0
city8,2020,2.0
city8,2021,4.0
city9,2000,3.0
city9,2001,3.0
city9,2002,4.0
city9,2003,3.0
city9,2004,3.0
city9,2005,3.0
city9,2006,3.0
city9,2007,3.0
city9,2008,3.0
city9,2009,3.0
city9,2010,3.0
city9,2011,3.0
city9,2012,3.0
city9,2013,2.0
city9,2014,2.0
city9,2015,2.0
city9,2016,2.0
city9,2017,2.0
city9,2018,2.0
city9,2019,2.0
city9,2020,2.0
city9,2021,2.0
city10,2001,4.0
city10,2002,4.0
city10,2003,4.0
city10,2004,4.0
city10,2005,4.0
city10,2006,4.0
city10,2007,4.0
city10,2008,4.0
city10,2009,4.0
city10,2010,4.0
city10,2011,4.0
city10,2012,3.0
city10,2013,3.0
city10,2014,3.0
city10,2015,3.0
city10,2016,3.0
city10,2017,3.0
city10,2018,2.0
city10,2019,2.0
city10,2020,2.0
city10,2021,2.0
city11,2000,3.0
city11,2001,3.0
city11,2002,4.0
city11,2003,4.0
city11,2004,4.0
city11,2005,4.0
city11,2006,4.0
city11,2007,4.0
