城市名称,年份,pi_Employment,si_Employment,ti_Employment
city1,2003,0,57,41
city1,2004,0,63,43
city1,2005,0,66,50
city1,2006,0,71,52
city1,2007,0,81,66
city1,2008,0,87,77
city1,2009,0,87,77
city1,2010,0,89,56
city1,2011,0,91,59
city1,2012,0,92,62
city1,2013,0,92,64
city1,2014,0,94,65
city1,2015,0,95,67
city1,2016,0,96,69
city1,2017,0,96,72
city1,2018,0,96,74
city1,2019,0,95,79
city1,2021,0,101,89
city2,2002,45,111,67
city2,2003,39,140,81
city2,2004,35,150,89
city2,2005,34,159,96
city2,2006,30,172,106
city2,2007,28,183,114
city2,2008,26,199,125
city2,2009,24,200,140
city2,2010,23,210,149
city2,2011,20,212,154
city2,2012,18,224,147
city2,2013,18,223,149
city2,2014,18,221,151
city2,2015,18,219,153
city2,2016,17,215,155
city2,2017,17,215,155
city2,2018,16,214,159
city2,2019,15,213,159
city2,2020,14,206,199
city2,2021,13,207,199
city3,2006,2,372,274
city3,2007,1,355,300
city3,2008,1,362,307
city3,2009,0,374,318
city3,2010,0,390,367
city3,2011,0,383,381
city3,2012,0,373,398
city3,2013,0,437,462
city3,2014,0,432,468
city3,2015,0,423,483
city3,2016,0,418,508
city3,2017,2,419,522
city3,2018,2,515,775
city3,2019,1,509,773
city3,2020,1,479,759
city3,2021,1,486,758
city4,2003,19,18,17
city4,2004,16,19,21
city4,2005,14,20,22
city4,2006,13,21,22
city4,2007,12,21,25
city4,2008,11,27,26
city4,2009,11,28,27
city4,2010,11,26,29
city4,2011,11,26,32
city4,2012,10,25,37
city4,2013,11,31,31
city4,2014,10,30,34
city4,2015,11,30,34
city4,2016,11,30,34
city4,2017,11,29,35
city4,2018,11,29,35
city4,2019,11,29,36
city4,2021,8,32,33
city5,2002,62,161,101
city5,2003,55,195,96
city5,2004,49,211,103
city5,2005,43,232,123
city5,2006,36,264,132
city5,2007,34,307,143
city5,2008,32,304,182
city5,2009,30,314,206
city5,2010,28,330,231
city5,2011,26,336,247
city5,2012,25,427,242
city5,2013,25,426,244
city5,2014,25,420,249
city5,2015,24,415,253
city5,2016,24,412,256
city5,2017,24,412,256
city5,2018,22,406,265
city5,2019,21,404,268
city5,2020,19,384,344
city5,2021,18,386,345
city6,2006,29,197,125
city6,2007,28,203,128
city6,2008,28,197,137
city6,2009,27,206,148
city6,2010,26,264,153
city6,2011,26,265,154
city6,2012,27,258,152
city6,2013,25,257,156
city6,2014,22,257,159
city6,2015,22,253,164
city6,2016,22,252,165
city6,2017,21,247,167
city6,2018,19,264,247
city6,2019,21,263,248
city6,2020,23,297,279
city6,2021,22,301,277
city7,2003,80,137,68
city7,2004,75,140,70
city7,2005,65,148,73
city7,2006,56,157,81
city7,2007,53,162,87
city7,2008,53,170,93
city7,2009,52,172,105
city7,2010,51,181,110
city7,2011,52,181,111
city7,2012,51,180,112
city7,2013,51,179,114
city7,2014,46,179,120
city7,2015,46,178,123
city7,2016,46,178,124
city7,2017,45,178,125
city7,2018,45,175,127
city7,2019,45,173,130
city7,2021,18,160,152
city8,2002,138,45,53
city8,2003,126,45,90
city8,2004,118,48,104
city8,2005,112,55,107
city8,2006,101,68,112
city8,2007,99,82,114
city8,2008,97,95,121
city8,2009,98,110,139
city8,2010,94,104,128
city8,2011,94,126,142
city8,2012,84,85,112
city8,2013,83,85,114
city8,2014,80,88,114
city8,2015,79,89,115
city8,2016,78,90,116
city8,2017,78,90,116
city8,2018,77,90,118
city8,2019,76,90,119
city8,2020,70,85,113
city8,2021,66,86,113
city9,2006,171,68,64
city9,2007,171,81,62
city9,2008,184,81,67
city9,2009,184,88,75
city9,2010,149,58,67
city9,2011,149,56,71
city9,2012,147,57,74
city9,2013,145,60,76
city9,2014,142,61,78
city9,2015,142,62,78
city9,2016,142,62,79
city9,2017,140,64,81
city9,2018,136,62,129
city9,2019,136,62,126
city9,2020,79,61,131
city9,2021,77,62,133
city10,2003,73,29,40
city10,2004,73,30,39
city10,2005,69,32,41
city10,2006,67,33,43
city10,2007,65,35,45
city10,2008,61,35,51
city10,2009,63,37,50
city10,2010,58,34,46
city10,2011,57,34,47
city10,2012,55,35,49
city10,2013,54,36,51
city10,2014,52,37,52
city10,2015,52,37,53
city10,2016,50,37,55
city10,2017,50,37,57
city10,2018,48,40,57
city10,2019,46,45,54
city10,2021,14,51,77
city11,2003,49,100,51
city11,2004,44,98,60
city11,2005,42,144,54
city11,2006,42,167,66
city11,2007,39,181,69
city11,2008,37,177,80
city11,2009,36,187,85
city11,2010,35,193,89
city11,2011,34,197,91
city11,2012,32,198,97
city11,2013,32,194,102
city11,2014,31,193,108
city11,2015,30,186,113
city11,2016,29,183,118
