城市名称,年份,常住人口（万人）,户籍人口（万人）
city1,2006,272.0,258.0
city1,2007,277.0,258.0
city1,2008,280.0,258.0
city1,2009,282.0,259.0
city1,2010,285.0,259.0
city1,2011,289.0,260.0
city1,2012,290.0,261.0
city1,2013,291.0,261.0
city1,2014,292.0,262.0
city1,2015,293.0,264.0
city1,2016,295.0,264.0
city1,2017,298.0,265.0
city1,2018,300.0,266.0
city1,2019,303.0,267.0
city1,2020,306.0,268.0
city1,2021,337.0,268.0
city2,2001,509.0,0.0
city2,2007,584.0,458.0
city2,2008,599.0,462.0
city2,2009,611.0,464.0
city2,2010,620.0,466.0
city2,2011,638.0,467.0
city2,2012,643.0,468.0
city2,2013,647.0,470.0
city2,2014,648.0,472.0
city2,2015,650.0,477.0
city2,2016,651.0,481.0
city2,2017,653.0,486.0
city2,2018,655.0,493.0
city2,2019,657.0,497.0
city2,2020,745.0,503.0
city2,2021,746.0,509.0
city3,2001,701.0,125.0
city3,2002,725.0,132.0
city3,2003,747.0,139.0
city3,2004,778.0,151.0
city3,2005,801.0,165.0
city3,2006,828.0,182.0
city3,2007,871.0,197.0
city3,2008,912.0,212.0
city3,2009,954.0,228.0
city3,2010,995.0,241.0
city3,2011,1037.0,251.0
city3,2012,1123.0,268.0
city3,2013,1196.0,288.0
city3,2014,1257.0,310.0
city3,2015,1318.0,332.0
city3,2016,1408.0,355.0
city3,2017,1495.0,385.0
city3,2018,1587.0,435.0
city3,2019,1666.0,455.0
city3,2020,1710.0,495.0
city3,2021,1763.0,514.0
city4,2006,103.0,97.0
city4,2007,103.0,97.0
city4,2008,104.0,97.0
city4,2009,105.0,97.0
city4,2010,106.0,97.0
city4,2011,112.0,97.0
city4,2012,114.0,97.0
city4,2013,114.0,97.0
city4,2014,114.0,97.0
city4,2015,115.0,97.0
city4,2016,115.0,97.0
city4,2017,116.0,97.0
city4,2018,117.0,97.0
city4,2019,117.0,97.0
city4,2020,118.0,97.0
city4,2021,116.0,96.0
city5,2001,679.0,0.0
city5,2007,810.0,616.0
city5,2008,882.0,624.0
city5,2009,913.0,630.0
city5,2010,937.0,633.0
city5,2011,1047.0,638.0
city5,2012,1052.0,642.0
city5,2013,1055.0,648.0
city5,2014,1058.0,654.0
city5,2015,1060.0,661.0
city5,2016,1062.0,667.0
city5,2017,1065.0,678.0
city5,2018,1068.0,691.0
city5,2019,1072.0,704.0
city5,2020,1271.0,723.0
city5,2021,1275.0,744.0
city6,2001,534.0,332.0
city6,2002,549.0,336.0
city6,2003,557.0,339.0
city6,2004,564.0,344.0
city6,2005,575.0,351.0
city6,2006,580.0,354.0
city6,2007,604.0,358.0
city6,2008,630.0,361.0
city6,2009,657.0,364.0
city6,2010,687.0,368.0
city6,2011,720.0,371.0
city6,2012,761.0,375.0
city6,2013,796.0,378.0
city6,2014,824.0,382.0
city6,2015,850.0,386.0
city6,2016,864.0,389.0
city6,2017,875.0,400.0
city6,2018,900.0,420.0
city6,2019,926.0,437.0
city6,2020,943.0,461.0
city6,2021,952.0,474.0
city7,2006,439.0,435.0
city7,2007,450.0,436.0
city7,2008,458.0,436.0
city7,2009,464.0,437.0
city7,2010,470.0,438.0
city7,2011,491.0,439.0
city7,2012,493.0,440.0
city7,2013,494.0,441.0
city7,2014,495.0,442.0
city7,2015,496.0,443.0
city7,2016,497.0,443.0
city7,2017,499.0,445.0
city7,2018,501.0,446.0
city7,2019,504.0,447.0
city7,2020,506.0,448.0
city7,2021,527.0,448.0
city8,2001,504.0,
