城市名称,年份,rural_disposableIcome
city1,2011,
city1,2012,
city1,2013,20256.0
city1,2014,22404.0
city1,2015,24408.0
city1,2016,26508.0
city1,2017,28996.0
city1,2018,31764.0
city1,2019,34800.0
city1,2020,37244.0
city1,2021,41300.0
city1,2022,44112.0
city2,2011,
city2,2012,18508.0
city2,2013,20584.0
city2,2014,22264.0
city2,2015,24152.0
city2,2016,26156.0
city2,2017,28356.0
city2,2018,30784.0
city2,2019,33572.0
city2,2020,35748.0
city2,2021,39620.0
city2,2022,41932.0
city4,2011,
city4,2012,
city4,2013,21400.0
city4,2014,23780.0
city4,2015,25900.0
city4,2016,28308.0
city4,2017,30788.0
city4,2018,33812.0
city4,2019,36784.0
city4,2020,39096.0
city4,2021,42944.0
city4,2022,45924.0
city6,2011,13860.0
city6,2012,15684.0
city6,2013,17500.0
city6,2014,20092.0
city6,2015,22060.0
city6,2016,24156.0
city6,2017,26388.0
city6,2018,28764.0
city6,2019,31500.0
city6,2020,33440.0
city6,2021,37064.0
city6,2022,
city7,2011,
city7,2012,
city7,2013,21304.0
city7,2014,23536.0
city7,2015,25648.0
city7,2016,27744.0
city7,2017,30328.0
city7,2018,33096.0
city7,2019,36120.0
city7,2020,38696.0
city7,2021,42636.0
city7,2022,45708.0
city8,2011,
city8,2012,
city8,2013,
city8,2014,
city8,2015,10024.0
city8,2016,14316.0
city8,2017,11928.0
city8,2018,17056.0
city8,2019,18564.0
city8,2020,19728.0
city8,2021,21884.0
city8,2022,23404.0
city9,2011,8188.0
city9,2012,9504.0
city9,2013,10704.0
city9,2014,11912.0
city9,2015,13224.0
city9,2016,14520.0
city9,2017,15692.0
city9,2018,16948.0
city9,2019,18480.0
city9,2020,19620.0
city9,2021,21560.0
city9,2022,
city10,2011,
city10,2012,
city10,2013,12168.0
city10,2014,13632.0
city10,2015,15000.0
city10,2016,16456.0
city10,2017,18072.0
city10,2018,19920.0
city10,2019,21928.0
city10,2020,23636.0
city10,2021,26384.0
city10,2022,28468.0
city11,2011,
city11,2012,
city11,2013,22396.0
city11,2014,24676.0
city11,2015,26836.0
city11,2016,28996.0
city11,2017,31436.0
city11,2018,34276.0
city11,2019,37412.0
city11,2020,39800.0
city11,2021,43596.0
city11,2022,46276.0
city12,2011,11044.0
city12,2012,12492.0
city12,2013,13980.0
city12,2014,15076.0
city12,2015,16408.0
city12,2016,17860.0
city12,2017,19492.0
city12,2018,21216.0
city12,2019,23116.0
city12,2020,24612.0
city12,2021,27400.0
city12,2022,29416.0
city13,2011,
city13,2012,
city13,2013,
city13,2014,10700.0
city13,2015,12772.0
city13,2016,13928.0
city13,2017,15268.0
city13,2018,16636.0
city13,2019,18120.0
city13,2020,19464.0
city13,2021,21576.0
city13,2022,23056.0
city14,2011,6732.0
city14,2012,7772.0
city14,2013,8772.0
city14,2014,9884.0
city14,2015,10800.0
city14,2016,12044.0
city14,2017,13300.0
city14,2018,14620.0
city14,2019,16028.0
city14,2020,17312.0
city14,2021,19144.0
city14,2022,
city16,2011,6316.0
city16,2012,7460.0
city16,2013,8576.0
city16,2014,9580.0
city16,2015,10532.0
city16,2016,11604.0
city16,2017,12788.0
city16,2018,14104.0
city16,2019,15432.0
city16,2020,16940.0
city16,2021,18288.0
city16,2022,20252.0
city17,2011,12672.0
city17,2012,14816.0
city17,2013,16788.0
city17,2014,18884.0
city17,2015,17660.0
city17,2016,19320.0
city17,2017,21448.0
city17,2018,23480.0
city17,2019,26020.0
city17,2020,28864.0
city17,2021,31264.0
city17,2022,34532.0
city18,2011,12636.0
city18,2012,14836.0
city18,2013,
city18,2014,
city18,2015,20132.0
city18,2016,21912.0
city18,2017,23776.0
city18,2018,25832.0
city18,2019,28012.0
city18,2020,30488.0
city18,2021,32364.0
city18,2022,35820.0
city19,2011,
city19,2012,
city19,2013,
city19,2014,16660.0
city19,2015,18544.0
city19,2016,20296.0
city19,2017,21896.0
city19,2018,23920.0
city19,2019,26216.0
city19,2020,28508.0
city19,2021,30364.0
city19,2022,33708.0
city20,2011,
city20,2012,
city20,2013,
city20,2014,13808.0
city20,2015,15352.0
city20,2016,16884.0
city20,2017,18420.0
city20,2018,20224.0
city20,2019,22252.0
city20,2020,24424.0
city20,2021,26288.0
city20,2022,29264.0
city21,2011,
city21,2012,
