城市名称,年份,towner_disposableIcome
city1,2011,
city1,2012,
city1,2013,35750.0
city1,2014,38955.0
city1,2015,42235.0
city1,2016,45790.0
city1,2017,49930.0
city1,2018,54390.0
city1,2019,59025.0
city1,2020,61740.0
city1,2021,67980.0
city1,2022,71040.0
city2,2011,
city2,2012,35660.0
city2,2013,38995.0
city2,2014,41730.0
city2,2015,45125.0
city2,2016,48625.0
city2,2017,52655.0
city2,2018,56985.0
city2,2019,61915.0
city2,2020,64710.0
city2,2021,70480.0
city2,2022,73330.0
city3,2011,36505.0
city3,2012,40740.0
city3,2013,44650.0
city3,2014,40945.0
city3,2015,44630.0
city3,2016,48695.0
city3,2017,52935.0
city3,2018,57540.0
city3,2019,62520.0
city3,2020,64875.0
city3,2021,70845.0
city3,2022,
city4,2011,
city4,2012,
city4,2013,37795.0
city4,2014,41465.0
city4,2015,44845.0
city4,2016,48420.0
city4,2017,52515.0
city4,2018,56620.0
city4,2019,61475.0
city4,2020,63700.0
city4,2021,69100.0
city4,2022,71965.0
city6,2011,30715.0
city6,2012,34580.0
city6,2013,38035.0
city6,2014,36555.0
city6,2015,39755.0
city6,2016,43120.0
city6,2017,46845.0
city6,2018,50735.0
city6,2019,55230.0
city6,2020,57445.0
city6,2021,62940.0
city6,2022,
city7,2011,
city7,2012,
city7,2013,39565.0
city7,2014,43165.0
city7,2015,46745.0
city7,2016,50305.0
city7,2017,54445.0
city7,2018,59045.0
city7,2019,63935.0
city7,2020,66690.0
city7,2021,73100.0
city7,2022,76195.0
city8,2011,20260.0
city8,2012,22995.0
city8,2013,
city8,2014,25795.0
city8,2015,28105.0
city8,2016,30335.0
city8,2017,24880.0
city8,2018,35825.0
city8,2019,38950.0
city8,2020,40315.0
city8,2021,43950.0
city8,2022,46040.0
city9,2011,16110.0
city9,2012,18030.0
city9,2013,20035.0
city9,2014,19540.0
city9,2015,21395.0
city9,2016,23320.0
city9,2017,25315.0
city9,2018,27160.0
city9,2019,29405.0
city9,2020,30730.0
city9,2021,33420.0
city9,2022,
city10,2011,
city10,2012,
city10,2013,28005.0
city10,2014,30410.0
city10,2015,32875.0
city10,2016,35965.0
city10,2017,38995.0
city10,2018,42555.0
city10,2019,46435.0
city10,2020,48530.0
city10,2021,53255.0
city10,2022,55780.0
city11,2011,
city11,2012,
city11,2013,38670.0
city11,2014,42140.0
city11,2015,45495.0
city11,2016,48925.0
city11,2017,53055.0
city11,2018,57435.0
city11,2019,61940.0
city11,2020,64120.0
city11,2021,69835.0
city11,2022,72095.0
city12,2011,23595.0
city12,2012,26570.0
city12,2013,29110.0
city12,2014,31345.0
city12,2015,34090.0
city12,2016,36825.0
city12,2017,40055.0
city12,2018,43450.0
city12,2019,47215.0
city12,2020,49100.0
city12,2021,53815.0
city12,2022,56575.0
city13,2011,
city13,2012,16990.0
city13,2013,18845.0
city13,2014,20395.0
city13,2015,22230.0
city13,2016,24085.0
city13,2017,26115.0
city13,2018,28280.0
city13,2019,30610.0
city13,2020,32015.0
city13,2021,35055.0
city13,2022,36755.0
city14,2011,14735.0
city14,2012,16520.0
city14,2013,18435.0
city14,2014,18245.0
city14,2015,20015.0
city14,2016,21815.0
city14,2017,23780.0
city14,2018,25490.0
city14,2019,27125.0
city14,2020,28015.0
city14,2021,30445.0
city14,2022,
city16,2011,18020.0
city16,2012,20325.0
city16,2013,23180.0
city16,2014,25590.0
city16,2015,21580.0
city16,2016,23500.0
city16,2017,25850.0
city16,2018,28305.0
city16,2019,30285.0
city16,2020,32630.0
city16,2021,34415.0
city16,2022,37620.0
city17,2011,30655.0
city17,2012,34435.0
city17,2013,38050.0
city17,2014,42045.0
city17,2015,42950.0
city17,2016,46730.0
city17,2017,50940.0
city17,2018,55400.0
city17,2019,59980.0
city17,2020,65050.0
city17,2021,68300.0
city17,2022,74415.0
city18,2011,26265.0
city18,2012,29825.0
city18,2013,33585.0
city18,2014,
city18,2015,39480.0
city18,2016,42710.0
city18,2017,46055.0
city18,2018,49955.0
city18,2019,53995.0
city18,2020,58340.0
city18,2021,60525.0
city18,2022,65820.0
city19,2011,
city19,2012,
city19,2013,
city19,2014,36385.0
city19,2015,39805.0
city19,2016,43190.0
city19,2017,46550.0
city19,2018,50650.0
city19,2019,54880.0
city19,2020,59345.0
