城市名称,年份,wage
city1,2001,10340.0
city1,2002,13044.0
city1,2003,16648.0
city1,2004,19968.0
city1,2005,22024.0
city1,2006,23872.0
city1,2007,26040.0
city1,2008,28504.0
city1,2009,31456.0
city1,2010,33840.0
city1,2011,36484.0
city1,2012,41104.0
city1,2013,46288.0
city1,2014,49888.0
city1,2015,56444.0
city1,2016,61200.0
city1,2017,65048.0
city1,2018,72332.0
city1,2019,81616.0
city1,2020,
city1,2021,97620.0
city2,2001,11984.0
city2,2002,13780.0
city2,2003,15796.0
city2,2004,18928.0
city2,2005,22124.0
city2,2006,25600.0
city2,2007,29656.0
city2,2008,34372.0
city2,2009,38844.0
city2,2010,43344.0
city2,2011,47004.0
city2,2012,51516.0
city2,2013,56884.0
city2,2014,60580.0
city2,2015,68024.0
city2,2016,76016.0
city2,2017,84928.0
city2,2018,89548.0
city2,2019,90284.0
city2,2020,105756.0
city2,2021,115748.0
city3,2001,23036.0
city3,2002,25940.0
city3,2003,28216.0
city3,2004,30608.0
city3,2005,31928.0
city3,2006,32476.0
city3,2007,35104.0
city3,2008,38796.0
city3,2009,43452.0
city3,2010,46720.0
city3,2011,50456.0
city3,2012,55140.0
city3,2013,59008.0
city3,2014,62616.0
city3,2015,72648.0
city3,2016,81032.0
city3,2017,89756.0
city3,2018,
city3,2019,
city3,2020,
city3,2021,
city4,2001,11504.0
city4,2002,14732.0
city4,2003,16688.0
city4,2004,18776.0
city4,2005,22248.0
city4,2006,25368.0
city4,2007,28440.0
city4,2008,33424.0
city4,2009,38700.0
city4,2010,40568.0
city4,2011,43632.0
city4,2012,52904.0
city4,2013,57280.0
city4,2014,61680.0
city4,2015,68964.0
city4,2016,74716.0
city4,2017,80308.0
city4,2018,93016.0
city4,2019,98392.0
city4,2020,106440.0
city4,2021,108492.0
city5,2001,11776.0
city5,2002,13668.0
city5,2003,15920.0
city5,2004,19788.0
city5,2005,22508.0
city5,2006,25012.0
city5,2007,28008.0
city5,2008,31400.0
city5,2009,36088.0
city5,2010,40260.0
city5,2011,45564.0
city5,2012,51656.0
city5,2013,57620.0
city5,2014,60528.0
city5,2015,66956.0
city5,2016,72288.0
city5,2017,79868.0
city5,2018,87348.0
city5,2019,94420.0
city5,2020,105572.0
city5,2021,113744.0
city6,2001,12496.0
city6,2002,14220.0
city6,2003,15872.0
city6,2004,17640.0
city6,2005,19560.0
city6,2006,22116.0
city6,2007,25204.0
city6,2008,28328.0
city6,2009,31044.0
city6,2010,
city6,2011,37080.0
city6,2012,40664.0
city6,2013,46204.0
city6,2014,50352.0
city6,2015,55676.0
city6,2016,61808.0
city6,2017,67184.0
city6,2018,
city6,2019,
city6,2020,
city6,2021,
city7,2001,11460.0
city7,2002,14728.0
city7,2003,16860.0
city7,2004,19692.0
city7,2005,21576.0
city7,2006,24628.0
city7,2007,26912.0
city7,2008,29952.0
city7,2009,30636.0
city7,2010,32500.0
city7,2011,35124.0
city7,2012,39808.0
city7,2013,45612.0
city7,2014,49032.0
city7,2015,54764.0
city7,2016,58728.0
city7,2017,61392.0
city7,2018,67488.0
city7,2019,75372.0
city7,2020,
city7,2021,85836.0
city8,2001,7976.0
city8,2002,8948.0
city8,2003,9852.0
city8,2004,10800.0
city8,2005,12168.0
city8,2006,14132.0
city8,2007,16588.0
city8,2008,19840.0
city8,2009,23992.0
city8,2010,28176.0
city8,2011,32780.0
city8,2012,36984.0
city8,2013,41968.0
city8,2014,45520.0
city8,2015,51300.0
city8,2016,55232.0
city8,2017,59640.0
city8,2018,64628.0
city8,2019,71472.0
city8,2020,77872.0
city8,2021,83216.0
city9,2001,8216.0
city9,2002,9472.0
city9,2003,10380.0
city9,2004,12436.0
city9,2005,14528.0
city9,2006,16104.0
city9,2007,17148.0
city9,2008,19884.0
city9,2009,22036.0
city9,2010,24256.0
city9,2011,25808.0
city9,2012,30580.0
city9,2013,36664.0
city9,2014,42888.0
city9,2015,48156.0
city9,2016,53036.0
city9,2017,57056.0
city9,2018,61440.0
city9,2019,67840.0
city9,2020,73056.0
city9,2021,86584.0
city10,2001,10316.0
city10,2002,13408.0
city10,2003,15944.0
city10,2004,18620.0
city10,2005,22916.0
city10,2006,24956.0
city10,2007,27348.0
city10,2008,31444.0
city10,2009,36240.0
city10,2010,41140.0
city10,2011,44972.0
city10,2012,49068.0
city10,2013,56608.0
city10,2014,59780.0
city10,2015,66100.0
city10,2016,77236.0
city10,2017,85056.0
city10,2018,92580.0
city10,2019,103256.0
city10,2020,
city10,2021,115580.0
city11,2001,12148.0
city11,2002,15352.0
city11,2003,17876.0
city11,2004,20776.0
city11,2005,20700.0
city11,2006,20644.0
city11,2007,22624.0
city11,2008,26004.0
city11,2009,29216.0
city11,2010,31960.0
city11,2011,36316.0
city11,2012,42984.0
city11,2013,48328.0
city11,2014,52944.0
city11,2015,60308.0
city11,2016,67688.0
city11,2017,73836.0
city11,2018,82932.0
city11,2019,90340.0
city11,2020,97764.0
city11,2021,107612.0
city12,2001,7816.0
city12,2002,9060.0
city12,2003,10056.0
city12,2004,11420.0
city12,2005,13188.0
city12,2006,15088.0
city12,2007,17308.0
city12,2008,21264.0
city12,2009,25732.0
city12,2010,29796.0
city12,2011,34488.0
city12,2012,38324.0
city12,2013,42980.0
city12,2014,46788.0
city12,2015,53396.0
city12,2016,57872.0
city12,2017,61068.0
city12,2018,65508.0
city12,2019,70848.0
city12,2020,79892.0
city12,2021,85944.0
city13,2001,6812.0
city13,2002,7940.0
